Date,Team,Opp,Player,Stat,Oodds,Uodds,Line,l10,l10diff,Identifier,Pos,imp.Ov.Prob,imp.Un.Prob,Ov.pred,Ov.P.Diff,BetRec,BetMade,NumL5Ohit,PctL5Ohit,BetHit,Points,Assists,Rebounds,3s,isB2B,isB2BFirst,isB2BSecond,countDaysRestTeam,Difference,Result,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
5/8/21,GSW,OKC,Looney,Rebounds,1.71,2.08,7.5,6.6,0.9,GSW-Looney,C,,,,,NA,NA,,,,3,1,12,0,FALSE,FALSE,FALSE,1,-4.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Anderson,Rebounds,1.92,1.84,5.5,5.2,0.3,MEM-Anderson,PF,,,,,NA,NA,,,,16,5,5,2,FALSE,FALSE,FALSE,1,0.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,BKN,DEN,Irving,Rebounds,1.77,2.00,4.5,5.4,-0.9,BKN-Irving,PG,,,,,NA,NA,,,,31,4,0,4,FALSE,FALSE,FALSE,1,4.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,DEN,BKN,Jokic,Rebounds,2.00,1.77,11.5,9.8,1.7,DEN-Jokic,C,,,,,NA,NA,,,,29,6,7,0,TRUE,FALSE,TRUE,0,4.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,POR,SAS,Powell,Rebounds,1.66,2.16,2.5,3.2,-0.7,POR-Powell,SF,,,,,NA,NA,,,,18,1,6,2,TRUE,FALSE,TRUE,0,-3.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,WAS,IND,Neto,Rebounds,2.28,1.60,3.5,3.2,0.3,WAS-Neto,PG,,,,,NA,NA,,,,2,3,3,0,FALSE,FALSE,FALSE,1,0.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,WAS,IND,Hachimura,Rebounds,2.17,1.66,5.5,4.5,1,WAS-Hachimura,PF,,,,,NA,NA,,,,13,1,6,0,FALSE,FALSE,FALSE,1,-0.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,WAS,IND,Westbrook,Rebounds,1.88,1.88,13.5,13.8,-0.3,WAS-Westbrook,PG,,,,,NA,NA,,,,33,15,19,3,FALSE,FALSE,FALSE,1,-5.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Curry,Rebounds,1.73,2.06,5.5,5.6,-0.1,GSW-Curry,PG,,,,,NA,NA,,,,49,2,5,11,FALSE,FALSE,FALSE,1,0.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Wiggins,3s,1.54,2.40,1.5,1.9,-0.4,GSW-Wiggins,PF,,,,,NA,NA,,,,18,4,3,1,FALSE,FALSE,FALSE,1,0.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
