Player,Pos,Identifier
Haliburton,SG,SAC-Haliburton
Harkless,SF,SAC-Harkless
Hield,SF,SAC-Hield
Holmes,C,SAC-Holmes
James,SF,SAC-James
King,PF,SAC-King
Metu,C,SAC-Metu
Ramsey,SG,SAC-Ramsey
Robinson III,SF,SAC-Robinson III
Whiteside,C,SAC-Whiteside
Woodard,PF,SAC-Woodard
Wright,PG,SAC-Wright
Bates-Diop,SF,SAS-Bates-Diop
DeRozan,PF,SAS-DeRozan
Eubanks,C,SAS-Eubanks
Gay,PF,SAS-Gay
Johnson,SF,SAS-Johnson
Jones,PG,SAS-Jones
Lyles,PF,SAS-Lyles
Mills,PG,SAS-Mills
Murray,PG,SAS-Murray
Poeltl,C,SAS-Poeltl
Reynolds,SF,SAS-Reynolds
Samanic,PF,SAS-Samanic
Vassell,SF,SAS-Vassell
Walker,SG,SAS-Walker
Weatherspoon,SG,SAS-Weatherspoon
White,SG,SAS-White
Anunoby,SF,TOR-Anunoby
Baynes,C,TOR-Baynes
Bembry,SF,TOR-Bembry
Boucher,C,TOR-Boucher
Ellenson,PF,TOR-Ellenson
Flynn,PG,TOR-Flynn
Gillespie,C,TOR-Gillespie
Harris,SG,TOR-Harris
Hood,SF,TOR-Hood
Johnson,PF,TOR-Johnson
Lowry,PG,TOR-Lowry
McCaw,SF,TOR-McCaw
Siakam,PF,TOR-Siakam
Trent Jr.,SG,TOR-Trent Jr.
VanVleet,SG,TOR-VanVleet
Watanabe,SF,TOR-Watanabe
Watson,SF,TOR-Watson
Aldridge,C,TOT-Aldridge
Allen,C,CLE-Allen
Augustin,PG,TOT-Augustin
Birch,C,TOR-Birch
Bjelica,PF,MIA-Bjelica
Bradley,C,HOU-Bradley
Brazdeikis,PF,TOT-Brazdeikis
Carter Jr.,C,ORL-Carter Jr.
Clark,PF,TOT-Clark
Cook,PF,TOT-Cook
Cook,PG,TOT-Cook
Craig,SF,TOT-Craig
Davis,SF,TOT-Davis
Dieng,C,SAS-Dieng
Drummond,C,LAL-Drummond
Ferrell,PG,TOT-Ferrell
Gafford,C,WAS-Gafford
Green,SG,BKN-Green
Griffin,PF,BKN-Griffin
Harrison,SG,TOT-Harrison
Hartenstein,C,TOT-Hartenstein
Hill,PG,PHI-Hill
Iwundu,SF,TOT-Iwundu
Jeffries,SF,TOT-Jeffries
Johnson,PF,TOT-Johnson
Jones,C,TOT-Jones
Jones,SG,TOT-Jones
Kabengele,C,TOT-Kabengele
Kornet,C,TOT-Kornet
Kurucs,PF,TOT-Kurucs
Melli,PF,DAL-Melli
Mykhailiuk,SG,OKC-Mykhailiuk
Olynyk,C,HOU-Olynyk
Parker,C,TOT-Parker
Pelle,C,TOT-Pelle
Silva,C,TOT-Silva
Smith Jr.,PG,TOT-Smith Jr.
Theis,C,CHI-Theis
Thomas,SG,TOT-Thomas
Thomas,SG,TOT-Thomas
Thornwell,SF,TOT-Thornwell
Tucker,PF,MIL-Tucker
Wagner,C,ORL-Wagner
Wilson,C,TOT-Wilson
Azubuike,C,UTA-Azubuike
Bogdanovic,PF,UTA-Bogdanovic
Brantley,PF,UTA-Brantley
Clarkson,SG,UTA-Clarkson
Conley,PG,UTA-Conley
